Document_group,Document_name,N_coded_segments,N_memos,Author,Country,Sex,Marital_status,Employment_status,Employment_status_of_partner,Highest_obtained_diploma,N_children_in_household,How_many_children_.in_.family_you_grew_up,Who_of_your_parents_paid_job,Temporal_dimension,Sq1_Change,Sq2_Satisfaction,Sq3_Personal.control,Sq4_Strereotypes,Sq5_Outcome,Sq6_FairvsUnfair,Sq7_Gender,Key_actors_in_the_story,Age,text
AT_quotes,AT_Q_F_21_CFR,7,0,Barbara Helfferich,1,2,6,8,8,4,0,1,3,1990,5,4,4,2,6,6,4,"mother,father,friends,media,schools, clubs,schools,",21,"*| 1 | “I believe that my family was never really very traditional, that is what I observed about my dad and my mom. True, my grandmother was at home. But I don’t really know. I don’t really remember those days.  I can only remember that she was retired and that my two aunts were at home for a long time before they started working again.  In my immediate family it was not like that.  My dad always worked and my mom always worked.  After they separated, I was alone a lot, because mom had to work a lot, but I really did not mind that much that I came home alone after school and then stayed there alone until 5 or 6 in the afternoon.  That was ok.  It was never that typical picture.  That is not to say that I have anything against it.  What I mean is that if a woman wants to do it, wants to care for the children. When she takes care of everything there, which is already mega help.  What I want to say is that I notice it in my household where we live and where we oftentimes do not have the time to clean and such..and then we have to sacrifice our days off.  No I do not find it devaluing that a woman stays at home.   I think it is a decision everyone has to take for himself or herself.  I believe that being a housewife and mother may sometimes be as much work as a 40 hrs job.  And I really admire those women a lot, which work, have children and are single parents; to manage everything alone must be very difficult.  I know this from girl friends or schoolmates, many of them are already married and have children and they have problems simply finding a job.  Really, who wants to hire a 20-year old with a child which is still small and it is predictable that she will miss work from time to time because of care responsibilities or because the child has a problem.  I believe employers should support people like that and not just not hire them. Something is quite wrong here.” |"
AT_quotes,AT_Q_M_31_CFR,9,0,Barbara Helfferich,1,1,5,8,8,6,1,2,1,2010,5,5,3,3,5,6,4,"mother,father,siblings,employer,friends,peers,creche",31,"*| 2 | Yes, indeed, to fill the role of a father, it does take a bit of support; no I do not mean money necessarily..well.. of course money is essential; but no, I am thinking more of infrastructures..laws.. the likes. Unfortunately, it is still the case that the majority of parental leave application comes from women; perhaps they do simply earn less than men. The things I appreciate a lot are the Viennese parent-child centers’; they do and help with about most everything – concerning parents and children.  I was a little bit skeptical in the beginning and so I went with my partner. she was preparing herself for the delivery. And yes, when the baby was finally there.. We were really happy about the people at the parent-child centers’ and how they had helped us. they advised us..how to organize our daily lives with a newborn"
AT_quotes,AT_Q_M_47_ID,12,0,Barbara Helfferich,1,1,3,1,8,7,2,1,3,"1960,1970",3,2,2,4,2,6,4,"mother,friends, peers,schools",47,"*| 1 | “What I find interesting myself, what is interesting for me, is, that there have been no father for several generations from my father’s side.  That there were no fathers over several generations on my father’ side, that my father grew up without a father who had disappeared before his birth.  I grew up with my mother.  And yes there were daily appearances, very short ones, by my father.  My children, too, grow up with their mother (laughs), and their father, well, visits them during holidays.  I find it interesting and it probably happens quite frequently that this is carried from generation to generation... That meant that I grew up with my mother as a role model, and yes, also with the role model of a father, but that of the father was much less dominant than that of my mother.  What is also interesting is that I joined a sports club, a Swedish sports club, and the members are in the majority women. There are only very few men.  And that was difficult for the women there to classify me.  They apparently have two ready-made assumptions when a guy joins a sports club, which is mainly frequented by women.  For them, you are either a homosexual or after women. It does not occur to them that one is only interested in sports.“ |"
AT_quotes,AT_Q_F_35_ID,19,0,Barbara Helfferich,1,2,2,1,3,7,0,2,1,"1970,1980",5,4,2,5,4,3,5,"father,mother,teacher,aunt,grandmother",35,"*| 1 | “Yes, I must say that I grew up in a very remote area of Austria, a very traditional, conservative one.  And it was common there that a girl could not sit at the table with the adults, in particular when the table was dominated by men. That meant practically that a girl was not allowed to take a seat at the table or to ask questions, which would have been the worst, because it would have meant she wanted to participate. Yes, but I did it nevertheless quite often when the peasants met, perhaps in a local restaurant, if I happened to be there with my Dad, but also alone nearby, because my relatives also owned such a restaurant, and there I was always asked to get up and help do the dishes, that is to say, to do some housework in order to help my aunt and not sit around idly.   And people who should not really have meddled did that and a quick glance towards my uncle seemed to validate all that.  But I was enormously lucky to have had a very emancipated Dad, because of his mother who was a midwife and managed the company.  That means that his image of women was diametrically opposed (NB: to the predominant views) and he always kept saying that, whatever these men tell you, or whatever anyone says, you are allowed to remain sitting, you can ask questions. And if that is not accepted, just say that your dad told you so, that you can, and that nobody has the right to chase you away.  That way, I was always conscious of my Dad’s protection and therefore could never be really irritated by these people.  That was probably the biggest exception and perhaps I had a well-developed self-confidence, so that I could rebel against that.  And this reinforcement, the positive reinforcement of the role model by my father, made me relatively immune – as a child – even when people kept saying that the way I acted as a girl, always spouting my opinions, I would never find a man"
AT_quotes,AT_Q_F_21_VIO,10,0,Barbara Helfferich,1,2,6,8,8,4,0,1,3,2000,4,2,2,5,3,3,4,"friends,peers,colleagues,media",21,"*| 6 | (R): No, because I think that they must assert themselves; they have to live out their compulsions, do something remarkable.  I do not feel insulted by it; no, I just think, I know this about myself that I can handle such jokes, because I am used to them.  But I also believe that it depends on who one is or how one takes it.  Perhaps if one is a housewife, just as an example, who likes cleaning and cooking, I might feel insulted and put down for what I like doing; that I am ridiculed... But still this is expected of women, that they can cook, that the apartment looks nice and of course, women are not allowed to neglect themselves.  Women’s beauty has to be perfect, always.  I believe that is must be exhausting to assert themselves under these conditions.  I myself have never experienced anything really malicious, but I have heard about it, about a professor at the University, about whom people said to avoid his lectures because he does not like women"
AT_quotes,AT_Q_M_47_LEI,11,0,Barbara Helfferich,1,1,3,1,8,7,2,1,3,2010,4,4,4,4,4,6,5,"partner,children,colleagues,friends,peers,schools",47,"*| 3 | (R): Yes, yes and thanks goodness, the mother, too.  We both said that it couldn’t be possible that the kids, that is the boys..we did not understand why it should be a purely girlie activity.  I probably wouldn’t have intervened if it had been a sewing course (laughs), but not allowing boys to participate in a Hip-Hop course, that I didn’t quite understand.  And one of my sons participates in such a course, but he is being criticized.  It was not only difficult to get the school to accept, but also his classmates.  Schoolmates have difficulties in understanding why a boy would want to participate in a class with 10 girls.  That requires a lot of self-confidence on the part of the children, to do that and admit that they like it. That’s it.” |"
AT_quotes,AT_Q_F_63_SOC,7,0,Barbara Helfferich,1,2,2,6,5,4,2,2,3,"1990,2000",2,2,3,5,2,1,5,"father, partner,siblings,teacher,creche",63,"*| 1 | “Advantages, disadvantages, naturally there are advantages if one can develop and grow.  That is something I found out for myself and I would not want to miss a day of my life and at each crossing there is more to learn and everybody has something else to learn.  Also we as women and women have to care for women.  To create the networks between women is very difficult and that is our big shortcoming.  Women do not support women as much as they support men.  Women prefer men, which is a phenomenon that can be observed during election time.  Women do not have the need to be led by a woman and they do not really support them.  But I find that we need women who address these issues.  It is already enough to just have one there; nothing more is necessary.  There is still a lot to do in relation to women understanding women.  We also have to be careful that there are no deficiencies at home.  It is in the majority women who take care of things at home. And in this regard I also have a little story when I was still living in B.  I was at a conference and it was pretty late in the evening and there was this man who asked me what my husband thinks when I am away evenings.  To which I replied that he is happy when I come home.  I suggested to him to ask his colleague what his wife thinks when he is away most of the evenings.  It wouldn’t hurt to look into that side a bit more.” |"
AT_quotes,AT_Q_F_63_PRO,11,0,Barbara Helfferich,1,2,2,6,6,4,2,2,3,1960,2,4,4,4,3,3,3,"mother,state",63,"*| 1 | “My first story leads me back to my youth, to a time when I had just finished school.  I wanted to become a sports’ teacher, but my parents felt that they did not have the financial means in the first place, but secondly they also felt that a girl will marry sooner than later and that therefore paying for an education would be a waste of money.  But in the end I became a sports’ teacher because there were stipends available from the land RF.  There was also a lack of sports teachers.  I passed all the exams and could begin my professional training. |"
AT_quotes,AT_Q_F_47_PRO2,10,0,Barbara Helfferich,1,2,2,1,1,6,1,3,3,1980,5,1,1,5,6,2,5,"mother,father,partner,employer,colleagues,friends,peers,media",47,"*| 1 | (R): “Ok, the second story which comes to mind immediately was so remarkable because it was also my very first job after my year of legal residence in court.  There were two important things that happened.  The first one was when I was interviewed.  I applied for a very special job for a woman.  The job required working in the field and selling musical instruments.  When I arrived, I met the Japanese boss. The company had just been bought up by Y., a Japanese company.  The Japanese boss was very young and we got a along just fine.  He wanted to hire me.  I did pass all the exams that he had given me, but he said that he needed to inform me that I was not allowed to get pregnant during the first three years working for his company.  That I had to promise him.   That was completely unexpected for me.  It had been my first interview, which had reached the point of considering hiring me.  At first I had not idea how to react.  But then I just said “ok, no problem’” It was also very strange to me to think that I would let myself get hired and then become pregnant.  That was certainly not my reality.  I was 23 years old at the time.  That was not part of my thinking.  I was also confronted with the comparison with men.  He had hired two men and me.  All the other typical professions for women were as secretaries or bookkeepers.  It was therefore an unbelievable novelty for the company that a woman was representing the company in the field meeting all the established traders..and of course, my predecessor had been a man. I found that astonishing, that the boss was ready to try it out whilst elaborating on the difference wanting to ensure that the risk was not too high. It was courageous to hire a 23-year-old woman in the prime of her fertility.but then he needed to minimize the risk.  From my perspective, that was a novel thought.  I had never imagined that it took courage to hire a woman at that age. |"
AT_quotes,AT_Q_M_70_CFR,12,0,Barbara Helfferich,1,1,3,6,8,6,3,3,1,"1970,1980",3,3,4,3,3,6,1,"partner,children",70,"*| 2 | (R): These new legal possibilities to assume the full role of a father did not really exist during my time.  My children were born in the 70’s or later.  My individual behavior could best be described as being unconsciously structural-conservative.  I wanted to be left in peace and not be bothered with such things as children.  I certainly was a traditional man in that respect.  But the contradiction between behavior and propaganda and that which one supports, that I was clear about. |"
